ImageFile,InventoryNumber,ArtistName,Title,ObjectType,Medium,ObjectDate,Height,Width,About the Artist,About the Artwork,County Department,Supervisorial District,Location Name,AddressStreet,AddressCity,AddressState,AddressPostalCode,Latitude,Longitude,Count,Group,Show
,2015.124,"White, Charles Wilbert",Untitled,Print,Ink on paper,1960,16.5,6.5,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Public Library,District 2 ,A.C. Bilbrew Library,150 East El Segundo Boulevard,Los Angeles,California,90745,33.9162287,-118.2720748,119,24,FALSE
,2015.126,"Blocker, Melonee",Ensenada August,Picture,Ink on wood,1975,13.75,17,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Public Library,District 2 ,A.C. Bilbrew Library,150 East El Segundo Boulevard,Los Angeles,California,90745,33.9162287,-118.2720748,120,25,FALSE
,2015.128,Unknown,Quilt,Textile art,Textile,,68,55,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Public Library,District 2 ,A.C. Bilbrew Library,150 East El Segundo Boulevard,Los Angeles,California,90745,33.9162287,-118.2720748,121,25,FALSE
,2015.129,Lalama,La Plage,Print,Ink on paper,,27.5,33.5,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Health Services,District 2 ,Curtis Tucker Behavioral Health Center,123 W Manchester Blvd,Inglewood,California,90221,33.96264023,-118.3564307,122,25,FALSE
,2015.13,"Belloughs, Cleveland",Nimba With Crown,Print,Ink on paper,,17,10.25,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Aging and Disabilities,District 2 ,Willowbrook Senior Center,12915 Jarvis Avenue,Los Angeles,California,90640,33.91467636,-118.272623,123,25,FALSE
,2015.131,Ball-Nogues Studio,Orchard,Sculpture,"Precast concrete, olive tree, lavender plants, Fescue grass, and steel",2015,180,216,"Benjamin Ball and Gaston Nogues of LA-based Ball-Nogues Studio, began their practice together after having met as Sci-Arc undergraduates. Prior to partnering in business, Benjamin Ball worked for several Los Angeles architecture firms including Gehry & Associates and Ramer Architecture, and Gaston Nogues worked as a product designer for Gehry Partners. As a Studio, Ball and Nogues have completed designs and installations for the New York Museum of Modern Art / P.S. 1, the Los Angeles Museum of Contemporary Art and Materials & Applications. In the fall of 2008, they were invited to install their artwork, Echoes Converge, at the 2008 Architecture Biennial in Venice, Italy.","The two artworks at El Cariso Regional Park are in the tradition of land art, in which artists integrate natural materials like stones, concrete and landscaping in the design. 

Sylmar was once the site of the largest olive grove and mill in the world. Ball-Nogues Studio recalls this agricultural history in <em>Orchard.</em> The artwork was inspired by traditional tools used in olive production—an olive press, olive grinder and sorting bins. 103 interlocking precast concrete parts encircle a fruit-bearing olive tree and bed of lavender. The project required soil testing, irrigation planning and conservation assessments.

Artist Biography
Ball-Nogues Studio (established 2004) is an integrated design and fabrication practice operating in a territory between architecture, art, and industrial design, led by Benjamin Ball and Gaston Nogues. Their work is informed by the exploration of craft. Essential to each project is the ""design"" of the production process itself, with the aim of creating environments that enhance sensation, generate spectacle and invite physical engagement. http://www.ball-nogues.com/",Parks and Recreation,District 3 ,El Cariso Community Regional Park,13100 Hubbard Street,Sylmar,California,90059,34.31797751,-118.4183503,124,25,FALSE
,2015.132,"Glassman, Stephen",Dos Picos,Sculpture,"Gabion baskets, rock, and Fescue grass",2015,360,360,"LA-based sculptor Stephen Glassman first came to international attention in the early 1990’s when he began creating freeform, large-scale bamboo installations in urban sites devastated by the Rodney King Riots, Malibu Fires and Northridge Quake. These works became local symbols of resiliency as well as a springboard for the permanent, monumental-scale public works he creates today — art for art’s sake in a social contex. Glassman’s work has been published worldwide, and been awarded with an NEA/White House Millennium Fellowship, a Chrysler Design Award nomination, the London International Creativity Award, and more.","The two artworks at El Cariso Regional Park are in the tradition of land art, in which artists integrate natural materials like stones, concrete and landscaping in the design.
 
The nearby San Gabriel Mountains provided source imagery for Stephen Glassman when he created <em>Dos Picos</em>. Made of Gabion baskets—wire containment structures filled with rocks typically used for creating retaining walls—the sculpture features two 20-foot-tall angular peaks atop a gentle slope of long grasses, designed to guide the viewer's eye to the mountains on the horizon. A team of 20 engineers, fabricators and landscapers helped create the art. 

",Parks and Recreation,District 3 ,El Cariso Community Regional Park,13100 Hubbard Street,Sylmar,California,90059,34.31797751,-118.4183503,125,26,FALSE
,2015.133,"Lonner, Mara",San Angelo Landscape,Mural,Acrylic paint and steel on stucco,2015,204,516,"Mara Lonner is a Los Angeles-based artist and full-time lecturer at the University of California at Irvine. She received her BFA and MFA from the California Institute of the Arts (CalArts). Lonner is a Durfee Foundation artist grant recipient and has exhibited nationally for over 20 years. For more information on this artist, please visit: <a href=""https://www.maralonner.com/"">Mara Lonner</a>.","Artist Mara Lonner created a multilayered 17 feet by 43 feet long mural and wall relief to welcome visitors to the Community Center at San Angelo Park. Wrapping around two walls, the artwork invites viewers to follow the imagery as it continues around the outside of the building. Several painted steel cut panels accent the mural. Motifs in the design recall avocado and oak tree branches, leaves, fruit, flora and decorative wrought iron elements found in traditional Mexican casitas as well as the building architecture.",Parks and Recreation,District 1 ,San Angelo Park,245 San Angelo Ave,La Puente,California,93591,34.05021184,-118.0024692,126,26,FALSE
,2015.135,"Narduli, Susan",Veterans Garden,Monument,"Basalt, concrete, bronze, steel and gingko trees",2015,252,780,"Susan Narduli leads the design team for Narduli Studio, an interdisciplinary design practice with commissions in public spaces, urban installations, light and digital environments, architecture, and landscapes. After receiving a Master in Architecture from the University of California, Los Angeles, Narduli became a project designer for Frank Gehry. Her design studio has received numerous awards for design and public art and has exhibited and published internationally. For more information about Narduli, please visit: www.nardulistudio.com","Marking the south entrance to Liberty Community Plaza,<em> Veterans Garden </em>by Artist Susan Narduli is a communal space to gather, reflect and honor the nation's veterans. Key elements of the design include a dedication wall, a grove of ginkgo trees, planted roses, concrete benches and a path of engraved pavers inscribed with the names of local community members who have served or now serve in the armed forces. The garden is a lasting tribute to the men and women who have defended this country during times of war and peace.<div><br /></div><div>Rows of deciduous Ginkgo trees mark the passage of time with each season. New leaves appearing on the bare branches are meant to suggest a sense of renewal and hope. The rose garden, a symbol of remembrance, draws birds and butterflies to the site. The path the artist calls the “Walk of Honor,” inscribed with the names of local individuals who have served or now serve in our nation’s armed forces, will be a lasting tribute to the men and women who have defended this country during times of war and peace. Visitors are invited to take rubbings of the names. On the dedication wall, bronze medallions, each bearing the seal of a U.S. military branch, are placed alongside the words of the enlistment oath.<br /></div>",Aging and Disabilities,District 4 ,Liberty Plaza,14181 Telegraph Road,Whittier,California,90059,33.92953744,-118.029333,127,26,FALSE
,2015.137,"McCarren, Barbara",Figure,Sculpture,Stainless steel on concrete,2015,120,70,"Barbara McCarren received a BA in Fine Arts from the University of California, Los Angeles and an MFA from the University of Southern California. Jud Fine has an MFA from Cornell University and his BA from UC Santa Barbara. They have completed artwork for numerous public agencies throughout California including the Cities of Los Angeles, Long Beach, Huntington Beach and the San Francisco Arts Commission.","This 10-foot-high sculpture, titled Figure, by artist Barbara McCarren has many meanings and is designed to be explored from various perspectives—culturally, historically and scientifically. At first glance, the form of the sculpture is a three-dimensional figure 8. Its placement, however, at a slight angle off perpendicular to the ground, references the infinity symbol. The sculpture features typographical cutouts of characters, dates, coordinates, text and numbers of significance to Rowland Heights, such as: important years in the 19th century history of the community; the Chinese character for fullness and prosperity; “Eureka,” the California State motto; “one thousand ten thousand years” in Korean to convey eternality; the word “ocho” meaning “eight” in Spanish; and the longitudinal and latitudinal coordinates for Rowland Heights. By featuring information specific to the region along with universal symbols, the sculpture attempts to connect Rowland Heights’ past, present and future with limitless possibility and good luck.<br />To create the artwork, fabricators laser cut the text, numbers and symbols out of strips of stainless steel. After welding the pieces together, the stainless-steel sculpture was “bead blasted,” a finishing technique that creates a matte finish. Long lasting LED lights create a soft glow through the bands of cutout letters and icons.",Parks and Recreation,District 4 ,Rowland Heights Community Center,18150 Pathfinder Road,Rowland Heights,California,90059,33.96758603,-117.9150164,128,26,FALSE
,2015.139,"Saar, Alison",Embodied,Sculpture,Bronze,2014,168,72,"Alison Saar was born, raised and educated in Los Angeles, California. She has shown her work in museums internationally and has pieces in many major museum collections, including the Los Angeles County Museum of Art, Metropolitan Museum of Art, Whitney Museum of Art and Hirshhorn Museum & Sculpture Garden. Embodied will be her eighth major public commission. To learn more about the artist: <a href=""http://www.lalouver.com"">http://www.lalouver.com</a> ","Artist Alison Saar has created a monumental figurative bronze sculpture for the exterior plaza to serve as a companion piece to the historic Hall of Justice. In her own words, Saar says of the artwork, “Embodied represents the spirit of Justice. She is not a typical depiction, for she wields no sword, wears no blindfold. Her lucid eyes are blind to creed and color. She is all seeing in issues of truth and equity. She weighs and balances the book of the law and equates it to freedom and peace, as affirmed by the dove taking flight from her upheld hand.” The figure’s facial features are a composite of many ethnicities, according to Saar representing the diverse populations of Los Angeles County. Draped over one arm, she holds a long braid meant to symbolize the coming together of the many facets of the Los Angeles County District Attorney's Office and the Los Angeles County Sheriff’s Department to ensure a secure and peaceful environment. Imprinted on her dress are over 200 words gathered from conversations with staff of the Sheriff’s Department, the District Attorney’s Office, schools and courthouses. Saar also spent time in Grand Park downtown and asked a random sampling<br />of people for their input. More than a dozen languages are included on the sculpture. Saar and a team of over 30 artisans, bronze casters and engineers were involved in the making of the artwork. From start to finish, the team transformed a 12-inch clay model to a life and a half scale bronze sculpture weighing over one ton. Embodied was made entirely within Los Angeles County, including Decker Studios bronze foundry in North Hollywood and Exclusive Welding in La Crescenta.",Sheriff,District 1 ,Hall of Justice,211 West Temple Street,Los Angeles,California,90059,34.05539399,-118.2429566,129,26,FALSE
,2015.14,"Bennett, Herbert",Untitled (Scales of Justice),Print,Ink on paper,,12,8,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Public Library,District 2 ,A.C. Bilbrew Library,150 East El Segundo Boulevard,Los Angeles,California,90247,33.9162287,-118.2720748,130,27,FALSE
,2015.140,"Whitmore, Tyrone",Untitled,Painting,Oil paint,Unknown,55.5,32,,"<p style=""text-align:left;"">The Golden State Mutual Art Collection is a remarkable representation of Black visual arts in Los Angeles. It is considered one of the largest African American art collections in the United States. Recognizing the collection’s legacy and its significance to Los Angeles County, the Second District leadership supported its preservation when it was in danger of being sold. Now residents in the Second District and throughout Los Angeles County can experience and appreciate the Golden State Mutual artworks.</p><p style=""text-align:left;""><strong>History of the Collection</strong></p><p style=""text-align:left;"">The Golden State Mutual Life Insurance Company was founded in 1925 by William Nickerson, Jr. and Norman Houston. In 1954, artist William “Bill” Pajaud began collecting artworks for the company to highlight significant artistic contributions to African American culture. Pajaud used his decades-long position as a platform to champion Black artists who were underrepresented in Los Angeles and the art world at large. The collection contains various media including oil, watercolor, etching, wood and linocuts, serigraph prints, ceramics, metalwork, textiles, and wood sculpture. When the company went out of business in 2007, it began to auction off its art collection to cover its debts. Pajaud learned of this and put out a plea for the collection to be cared for and remain publicly accessible.</p><p style=""text-align:left;""><em><strong>“Take care of the work and take care of the concept of the people. If, for instance, you are able to get your hands on a piece of that work, any of it, realize that all of it was put together in love, for you and anybody else in the world to see.”</strong></em></p><p style=""text-align:right;""><em><strong></strong><span><span><strong><em><span style=""font:7.0pt 'Times New Roman';""></span></em></strong></span></span><em><strong>William “Bill” Pajaud</strong></em></em></p><p style=""text-align:left;""><strong>The Rescue of the Collection</strong></p><p style=""text-align:left;"">Second District leadership prioritized keeping as much of the collection as possible in Los Angeles County. In November 2015, the Department of Arts and Culture acquired 123 works from the original collection, launching a multi-year effort to make these artworks accessible to County residents. The Second District provided funding to purchase the artworks and exhibit them in its unincorporated areas. In the first phase of this initiative, under the management of Arts and Culture, curator Jill Moniz created an exhibition strategy to install as many works as possible and collaborate with County facilities to create a thematic presentation of artworks at each site. Eighty-three Golden State Mutual artworks were installed at AC Bilbrew Library, View Park Bebe Moore Campbell Library, Willowbrook Senior Center, and the County’s Hall of Administration. The remaining artworks were placed in art storage. </p><p style=""text-align:left;""><strong>The Current Phase of the Collection</strong></p><p style=""text-align:left;"">In the current phase of the collection, the remaining artworks were removed from storage, documented, conserved, and reframed or mounted in custom cases. Since April 2021, these artworks have been installed at Carson Regional Library, Masao Satow Library, Curtis Tucker Health Center, and Mark Ridley-Thomas Behavioral Health Center. Three artworks related to the founders and a rendering of the Golden State Mutual Life Insurance building by its architect, Paul Revere Williams, were returned on loan to the historic building in West Adams for the first time since their removal. The Golden State Mutual Art Collection is now fully accessible throughout the Second District, maximizing its visibility and audience to activate creative minds and support Black art excellence in Los Angeles County.</p>",Public Library,District 2 ,A.C. Bilbrew Library,150 East El Segundo Boulevard,Los Angeles,California,90247,33.9162287,-118.2720748,131,27,FALSE
